SL,Name,Scope
11,Energy,"      Energy is an international, multi-disciplinary journal in energy engineering and research. The journal aims to be a leading peer-reviewed platform and an authoritative source of information for analyses, reviews and evaluations related to energy. The journal covers research in mechanical engineering and thermal sciences, with a strong focus on energy analysis, energy modelling and prediction, integrated energy systems, energy planning and energy management. The journal also welcomes papers on related topics such as energy conservation, energy efficiency, biomass and bioenergy, renewable energy, electricity supply and demand, energy storage, energy in buildings, and on economic and policy issues, provided such topics are within the context of the broader multi-disciplinary scope of Energy.        "
12,Transportation,"      In our first issue, published in 1972, we explained that this Journal is intended to promote the free and vigorous exchange of ideas and experience among the worldwide community actively concerned with transportation policy, planning and practice. That continues to be our mission, with a clear focus on topics concerned with research and practice in transportation policy and planning, around the world.These four words, policy and planning, research and practice are our key words. While we have a particular focus on transportation policy analysis and travel behaviour in the context of ground transportation, we willingly consider all good quality papers that are highly relevant to transportation policy, planning and practice with a clear focus on innovation, on extending the international pool of knowledge and understanding. Our interest is not only with transportation policies - and systems and services – but also with their social, economic and environmental impacts, However, papers about the application of established procedures to, or the development of plans or policies for, specific locations are unlikely to prove acceptable unless they report experience which will be of real benefit those working elsewhere. Papers concerned with the engineering, safety and operational management of transportation systems are outside our scope.        "
13,Automation in Construction,"      Automation in Construction is an international journal for the publication of original research papers. The journal publishes refereed material on all aspects pertaining to the use of Information Technologies in Design, Engineering, Construction Technologies, and Maintenance and Management of Constructed Facilities. The scope of Automation in Construction is broad, encompassing all stages of the construction life cycle from initial planning and design, through construction of the facility, its operation and maintenance, to the eventual dismantling and recycling of buildings and engineering structures. The following list of topics is not intended to be exhaustive, but rather to indicate topics that fall within the journal's purview:• Computer-aided design, product modeling, decision support systems, classification and standardization, product data interchange• Computer-aided engineering, process simulation models, graphics• Robotics, metrology, logistics, automated inspection, demolition/remediation• Facilities management, management information systems, intelligent control systems.        "
14,Energy and Buildings,"      Energy and Buildings is an international journal publishing articles with explicit links to energy use in buildings. The aim is to present new research results, and new proven practice aimed at reducing the energy needs of a building and improving indoor environment quality. Energy and Buildings considers and publishes articles considerably advancing Building Science. Preference is given to practical and experimental research articles reporting considerable innovations. Articles reporting advances in theoretical and simulation methods are welcome once results are fully validated using appropriate experimental data, and so are the articles reporting application of numerical or theoretical methods for the analysis of new technology and materials and innovative designs.        "
15,Building and Environment,"      Building and Environment is an international journal that publishes original papers and review articles on research, technology, and tool development related to building science and human interaction with the built environment, as well as their applications to building design and operation.         "
16,Construction and Building Materials,"      An international journal dedicated to the investigation and innovative use of materials in construction and repair.Construction and Building Materials provides an international forum for the dissemination of innovative and original research and development in the field of construction and building materials and their application in new works and repair practice. The journal publishes a wide range of innovative research and application papers which describe laboratory and to a limited extent numerical investigations or report on full scale projects. Multi-part papers are discouraged.Construction and Building Materials also publishes detailed case studies and some incisive review articles that contribute new understandings. We are focusing on construction materials papers and we exclude papers on structural engineering, geotechnics and unbound highway layers. The construction materials and technology covered include: cement, concrete reinforcement, bricks and mortars, additives, corrosion technology, ceramics, timber, steel, polymers, glass fibres, recycled materials, bamboo, rammed earth, non-conventional building materials, bituminous materials and railway material applications.The scope of Construction and Building Materials includes, but is not restricted to, materials, NDT and monitoring aspects of new works and repair and maintenance of the following: bridges, high-rise buildings, dams, civil engineering structures, silos, highway pavements, tunnels, water containment structures, sewers, roofing, housing, coastal defences and railways.        "
17,Sustainable Cities and Society,"      Sustainable Cities and Society (SCS) is an international journal focusing on fundamental and applied research aimed at designing, understanding, and promoting environmentally sustainable and socially resilient cities. We encourage submission of cross-cutting, multi-disciplinary research in the areas of,1. Smart cities and resilient environments;2. Alternative/clean energy sources, energy distribution, distributed energy generation, and energy demand reduction/management;3. Monitoring and improving air quality in built environment and cities (e.g., healthy built environment and air quality management);4. Energy efficient, low/zero carbon, and green buildings/communities;5. Climate change mitigation and adaptation in urban environments;6. Green infrastructure and BMPs;7. Environmental Footprint accounting and management;8. Urban agriculture and forestry;9. ICT, smart grid and intelligent infrastructure;10. Urban design/planning, regulations, legislation, certification, economics, and policy;11. Social aspects, impacts and resiliency of cities;12. Behavior monitoring, analysis and change within urban communities;13. Health monitoring and improvement;14. Nexus issues related to sustainable cities and societies;15. Smart city governance;16. Decision Support Systems for trade-off and uncertainty analysis for improved management of cities and society;17. Big data, machine learning, and artificial intelligence applications and case studies;18. Critical infrastructure protection, including security, privacy, forensics, and reliability issues of cyber-physical systems.19. Water footprint reduction and urban water distribution, harvesting, treatment, reuse and management;20. Waste reduction and recycling;21. Wastewater collection, treatment and recycling;22. Smart, clean and healthy transportation systems and infrastructure        "
18,Structural Safety,"      Structural Safety is an international journal devoted to integrated risk assessment for a wide range of constructed facilities such as buildings, bridges, earth structures, offshore facilities, dams, lifelines and nuclear structural systems. Its purpose is to foster communication about risk and reliability among technical disciplines involved in design and construction, and to enhance the use of risk management in the constructed environment. All aspects of quantitative safety assessment are of interest:• Loads and environmental effects;• Material properties;• Prediction of response and performance;• Treatment of human error and engineering judgment;• Quality assurance/control; and• Techniques of decision analysis and risk management.        "
19,Composite Structures,"      The past few decades have seen outstanding advances in the use of composite materials in structural applications. There can be little doubt that, within engineering circles, composites have revolutionised traditional design concepts and made possible an unparalleled range of new and exciting possibilities as viable materials for construction. Composite Structures, an International Journal, disseminates knowledge between users, manufacturers, designers and researchers involved in structures or structural components manufactured using composite materials.The journal publishes papers which contribute to knowledge in the use of composite materials in engineering structures. Papers deal with design, research and development studies, experimental investigations, theoretical analysis and fabrication techniques relevant to the application of composites in load-bearing components for assemblies, ranging from individual components such as plates and shells to complete composite structures.        "
20,"Transportation Research, Part D: Transport and Environment","      Transportation Research Part D: Transport and Environment publishes original research and review articles on the environmental impacts of transportation, policy responses to those impacts, and their implications for the design, planning, and management of transportation systems. It covers all aspects of the interaction between transportation and the environment, from localized to global impacts. All impacts are considered, including impacts on travel behavior, air quality, ecosystems, global climate, public health, land use, economic development, and quality of life.The journal invites submissions of research papers on all modes of transportation. This includes maritime and air transportation as well as all modes of ground transportation. Papers dealing with sustainability and resilience of the transportation system and its infrastructure as well as the impacts of a changing climate on cities, regions, and networks are welcomed.        "
21,Journal of Structural Engineering,"      One of the oldest and most respected periodicals in the field, the Journal of Structural Engineering has a history of reporting on fundamental knowledge that advances the state-of-the-art and state-of-the-practice in structural engineering. Authors discuss the art and science of structural modeling and design; develop, apply and interpret the results of novel analytical, computational and experimental simulation techniques; propose new structural systems and study the merits of existing ones; pioneer methods for maintenance, rehabilitation and monitoring of existing structures; and investigate the properties of engineering materials as related to structural behavior. Papers making a fundamental contribution in the field of structural engineering at the intersection of structural engineering and other disciplines are welcome.        "
22,Structural Control and Health Monitoring,"      The Journal Structural Control and Health Monitoring encompasses all theoretical and technological aspects of structural control, structural health monitoring theory and smart materials and structures. The journal focuses on aerospace, civil, infrastructure and mechanical engineering applications.Original contributions based on analytical, computational and experimental methods are solicited in three main areas: monitoring, control, and smart materials and structures, covering subjects such as system identification, health monitoring, health diagnostics, multi-functional materials, signal processing, sensor technology, passive, active and semi active control schemes and implementations, shape memory alloys, piezoelectrics and mechatronics.Also of interest are actuator design, dynamic systems, dynamic stability, artificial intelligence tools, data acquisition, wireless communications, measurements, MEMS/NEMS sensors for local damage detection, optical fibre sensors for health monitoring, remote control of monitoring systems, sensor-logger combinations for mobile applications, corrosion sensors, scour indicators and experimental techniques.        "
23,Engineering Structures,"      Engineering Structures provides a forum for a broad blend of scientific and technical papers to reflect the evolving needs of the structural engineering and structural mechanics communities. Particularly welcome are contributions dealing with applications of structural engineering and mechanics principles in all areas of technology. The journal aspires to a broad and integrated coverage of the effects of dynamic loadings and of the modelling techniques whereby the structural response to these loadings may be computed.The scope of Engineering Structures encompasses, but is not restricted to, the following areas: infrastructure engineering; earthquake engineering; structure-fluid-soil interaction; wind engineering; fire engineering; blast engineering; structural reliability/stability; life assessment/integrity; structural health monitoring; multi-hazard engineering; structural dynamics; optimization; expert systems; experimental modelling; performance-based design; multiscale analysis; value engineering.Topics of interest include: tall buildings; innovative structures; environmentally responsive structures; bridges; stadiums; commercial and public buildings; transmission towers; television and telecommunication masts; foldable structures; cooling towers; plates and shells; suspension structures; protective structures; smart structures; nuclear reactors; dams; pressure vessels; pipelines; tunnels.Engineering Structures also publishes review articles, short communications and discussions, book reviews, and a diary on international events related to any aspect of structural engineering.        "
24,Journal of Composites for Construction,"      The Journal of Composites for Construction publishes original research papers, review papers, and case studies dealing with the use of fiber-reinforced composite materials in construction. Of special interest to the Journal are papers that bridge the gap between research in the mechanics and manufacturing science of composite materials and the analysis and design of large civil engineering structural systems and their construction processes. The Journal publishes papers about composite materials consisting of continuous synthetic fibers and matrices for use in civil engineering structures and subjected to the loadings and environments of the infrastructure. The Journal publishes papers about composite materials in stand-alone forms (e.g., structural shapes) or used in conjunction with traditional construction materials such as concrete, masonry, metals and timber, either as reinforcing members or in hybrid systems, for both new construction and for repair and rehabilitation of existing structures. The Journal also publishes papers about codes and standards related to fiber-reinforced composites for construction.        "
25,International Journal of Impact Engineering,"      The International Journal of Impact Engineering, established in 1983 publishes original research findings related to the response of structures, components and materials subjected to impact, blast and high-rate loading. Areas relevant to the journal encompass the following general topics and those associated with them:-Behaviour and failure of structures and materials under impact and blast loading-Systems for protection and absorption of impact and blast loading-Terminal ballistics-Dynamic behaviour and failure of materials including plasticity and fracture-Stress waves-Structural crashworthiness-High-rate mechanical and forming processes-Impact, blast and high-rate loading/measurement techniques and their applications        "
26,Computers and Structures,"      Computers & Structures publishes advances in the development and use of computational methods for the solution of problems in engineering and the sciences. The range of appropriate contributions is wide, and includes papers on establishing appropriate mathematical models and their numerical solution in all areas of mechanics. The journal also includes articles that present a substantial review of a field in the topics of the journal.With the modern use of computers and numerical methods to model and solve problems, the traditional boundaries between the fields of solid/structural mechanics and fluid mechanics hardly exist any longer, and multiphysics problems are solved that involve all aspects of mechanics. The word 'structures' must therefore now be interpreted in a broad sense including solids, fluids and multiphysics.        "
27,Soil Dynamics and Earthquake Engineering,"      The journal aims to encourage and enhance the role of mechanics and other disciplines as they relate to earthquake engineering by providing opportunities for the publication of the work of applied mathematicians, engineers and other applied scientists involved in solving problems closely related to the field of earthquake engineering and geotechnical earthquake engineering.Emphasis is placed on new concepts and techniques, but case histories will also be published if they enhance the presentation and understanding of new technical concepts.        "
28,Journal of Constructional Steel Research,"      The Journal of Constructional Steel Research provides an international forum for the presentation and discussion of the latest developments in structural steel research and their applications. It is aimed not only at researchers but also at those likely to be most affected by research results, i.e. designers and fabricators. Original papers of a high standard dealing with all aspects of steel research including theoretical and experimental research on elements, assemblages, connection and material properties are considered for publication.        "
29,Materials and Structures/Materiaux et Constructions,"      Materials and Structures, the flagship publication of the International Union of Laboratories and Experts in Construction Materials, Systems and Structures (RILEM), provides a unique international and interdisciplinary forum for new research findings on the performance of construction materials. A leader in cutting-edge research, the journal is dedicated to the publication of high quality papers examining the fundamental properties of building materials, their characterization and processing techniques, modeling, standardization of test methods, and the application of research results in building and civil engineering. Materials and Structures also publishes comprehensive reports prepared by the RILEM’s technical committees.        "
30,Thin-Walled Structures,"      Thin-walled structures comprises an important and growing proportion of engineering construction with areas of application becoming increasingly diverse, ranging from aircraft, bridges, ships and oil rigs to storage vessels, industrial buildings and warehouses.Many factors, including cost and weight economy, new materials and processes and the growth of powerful methods of analysis have contributed to this growth, and led to the need for a journal which concentrates specifically on structures in which problems arise due to the thinness of the walls. This field includes cold– formed sections, plate and shell structures, reinforced plastics structures and aluminium structures, and is of importance in many branches of engineering.The primary criterion for consideration of papers in Thin–Walled Structures is that they must be concerned with thin–walled structures or the basic problems inherent in thin–walled structures. Provided this criterion is satisfied no restriction is placed on the type of construction, material or field of application. Papers on theory, experiment, design, etc., are published and it is expected that many papers will contain aspects of all three.        "
31,International Journal of Mechanical Sciences,"      The International Journal of Mechanical Sciences (IJMS) is an international forum for the publication and dissemination of original work which contributes to greater scientific understanding of the main disciplines underpinning the mechanical, civil and material engineering sciences.Original contributions providing insight into the use of analytical, computational (e.g. FEM, BEM, mesh-free methods and others) modelling methods for rigid-body mechanics (e.g. dynamics, vibration, stability), structural mechanics, metal forming, behaviour and application of advanced materials (metals, composite, cellular, smart etc.), impact mechanics, strain localization and other effects of nonlinearity (e.g. large deflections, plasticity, fracture etc.), fluid mechanics (external and internal flows), tribology, thermodynamics and materials processing generally form the core of the journal contents.The International Journal of Mechanical Sciences does not accept for publication material which quite specifically belongs with other established specialist journals. Papers whose concern is primarily with mathematical or computational techniques, developed within a general framework and not aimed at any specific engineering application, are not requested. Similarly, papers whose content is purely descriptive or empirical and which do not make any scientific contribution, will not be considered. Comparison with experiments/tests conducted by the authors or others to validate the main contribution of the paper are strongly encouraged, however design-based studies, based on established formulae and methods, are outside our scope and should not be submitted to the International Journal of Mechanical Sciences.        "
32,Journal of Bridge Engineering,"      The Journal of Bridge Engineering publishes papers about all aspects of the art and science of bridge engineering. The journal publishes research that advances the practice and profession of bridge engineering and papers about issues, projects, materials, design, fabrication, construction, inspection, evaluation, safety, performance, management, retrofitting, rehabilitation, repair, and demolition.        "
33,Mathematics and Mechanics of Complex Systems,"      MEMOCS is a publication of the International Research Center for the Mathematics and Mechanics of Complex Systems. It publishes articles from diverse scientific fields with a specific emphasis on mechanics. Articles must rely on the application or development of rigorous mathematical methods.The journal intends to foster a multidisciplinary approach to knowledge firmly based on mathematical foundations. It will serve as a forum where scientists from different disciplines meet to share a common, rational vision of science and technology. It intends to support and divulge research whose primary goal is to develop mathematical methods and tools for the study of complexity.The journal will also foster and publish original research in related areas of mathematics of proven applicability, such as variational methods, numerical methods, and optimization techniques. Besides their intrinsic interest, such treatments can become heuristic and epistemological tools for further investigations, and provide methods for deriving predictions from postulated theories. Papers focusing on and clarifying aspects of the history of mathematics and science are also welcome. All methodologies and points of view, if rigorously applied, will be considered.        "
34,Bulletin of Earthquake Engineering,"      Bulletin of Earthquake Engineering - the Official Publication of the European Association for Earthquake Engineering is devoted to original and interdisciplinary, peer-reviewed papers on theoretical and applied research related to the broad spectrum of earthquake engineering with similar emphasis on all topics. Earthquake risk mitigation requires close interaction between different scientific and operational disciplines encouraging and motivating joint research and implementation aiming to advance the state-of-the-art and state-of-the-practice.The journal provides a forum for the European Earthquake Engineering Community to present and discuss matters of major interest e.g. important European damaging earthquakes, new developments in earthquake regulations, national policies applied after the occurrence of major seismic events (for example strengthening of existing buildings, etc.).        "
35,International Journal of Sustainable Transportation,"      The International Journal of Sustainable Transportation provides a discussion forum for the exchange of new and innovative ideas on sustainable transportation research in the context of environmental, economical, social, and engineering aspects, as well as current and future interactions of transportation systems and other urban subsystems.The scope includes the examination of overall sustainability of any transportation system, including its infrastructure, vehicle, operation, and maintenance; the integration of social science disciplines, engineering, and information technology with transportation; the understanding of the comparative aspects of different transportation systems from a global perspective; qualitative and quantitative transportation studies; and case studies, surveys, and expository papers in an international or local context.Equal emphasis is placed on the problems of sustainable transportation that are associated with passenger and freight transportation modes in both industrialized and non-industrialized areas. All submitted manuscripts are subject to initial evaluation by the Editors and, if found suitable for further consideration, to peer review by independent, anonymous expert reviewers. All peer review is single-blind. Submissions are made online via ScholarOne Manuscripts.        "
36,Building Research and Information,"      BUILDING RESEARCH & INFORMATION (BRI) is a leading international refereed journal focussed on buildings and their supporting systems. Unique to BRI is a focus on a holistic, transdisciplinary approach to buildings and the complexity of issues involving the built environment with other systems over the course of their life: planning, briefing, design, construction, occupation and use, property exchange and evaluation, maintenance, alteration and end of life. Published articles provide conceptual and evidence-based approaches which reflect the complexity and linkages between cultural, environmental, economic, social, organisational, quality of life, health, well-being, design and engineering of the built environment.        "
37,Transportation Research Part F: Traffic Psychology and Behaviour,"      Transportation Research Part F: Traffic Psychology and Behaviour focuses on the behavioural and psychological aspects of traffic and transport.The aim of the journal is to enhance theory development, improve the quality of empirical studies and to stimulate the application of research findings in practice. TRF provides a focus and a means of communication for the considerable amount of research activities that are now being carried out in this field. The journal provides a forum for transportation researchers, psychologists, ergonomists, engineers and policy-makers with an interest in traffic and transport psychology.        "
38,Road Materials and Pavement Design,"      The international journal Road Materials and Pavement Design welcomes contributions on mechanical, thermal, chemical and/or physical properties and characteristics of bitumens, additives, bituminous mixes, asphalt concrete, cement concrete, unbound granular materials, soils, geo-composites, new and innovative materials, as well as mix design, soil stabilization, and environmental aspects of handling and re-use of road materials.The Journal also intends to offer a platform for the publication of research of immediate interest regarding design and modeling of pavement behavior and performance, structural evaluation, stress, strain and thermal characterization and/or calculation, vehicle/road interaction, climatic effects and numerical and analytical modeling. The different layers of the road, including the soil, are considered. Emerging topics, such as new sensing methods, machine learning, smart materials and smart city pavement infrastructure are also encouraged.Contributions in the areas of airfield pavements and rail track infrastructures as well as new emerging modes of surface transportation are also welcome.        "
39,Journal of Wind Engineering and Industrial Aerodynamics,"      The objective of the journal is to provide a means for the publication and interchange of information, on an international basis, on all those aspects of wind engineering that are included in the activities of the International Association for Wind Engineering http://www.iawe.org/. These are: social and economic impact of wind effects; wind characteristics and structure, local wind environments, wind loads and structural response, diffusion, pollutant dispersion and matter transport, wind effects on building heat loss and ventilation, wind effects on transport systems, aerodynamic aspects of wind energy generation, and codification of wind effects.Papers on these subjects describing full-scale measurements, wind-tunnel simulation studies, computational or theoretical methods are published, as well as papers dealing with the development of techniques and apparatus for wind engineering experiments.        "
40,International Journal of Transportation Science and Technology,"      Rapid urbanization, population growth, motorization, and automation have increased economic activities within and between cities. The demand for increased mobility often imposes stress on the physical infrastructures, and creates mobility, safety, resilience, and sustainability challenges to the transportation systems. The solutions to such issues may be infrastructure expansion, improved infrastructure management, etc. It may also include the use of new technologies to manage travel, and new materials, construction, monitoring, and maintenance techniques to keep facilities in a state of good repair. The International Journal of Transportation Science and Technology (IJTST) is a forum for researchers to disseminate innovative research that enhances the safety, efficiency, reliability, resilience, and sustainability of person and freight transportation. IJTST welcomes technical articles that contribute to the advancement of science and technology in all modes of transportation systems. While science and technology is the main theme of this journal, articles submitted for possible publication should also address the impacts of the new science and technology on the planning, design, construction, maintenance and operations of transportation facilities, and the quality of life of the end users. The ability to link the intellectual merit of scientific research with broader impacts, and discuss implementation issues makes IJTST of interest to not only researchers, but also policy makers, practitioners, innovators, and entrepreneurs. All the articles published in IJTST have been selected through a rigorous single-blind peer-review process under the direction of the Editorial Board.        "
41,Journal of Materials in Civil Engineering,"      The Journal of Materials in Civil Engineering covers the development, processing, evaluation, applications, and performance of construction materials in civil engineering.        "
42,Georisk,"      Georisk covers many diversified but interlinked areas of active research and practice, such as geohazards (earthquakes, landslides, avalanches, rockfalls, tsunamis, etc.), safety of engineered systems (dams, buildings, offshore structures, lifelines, etc.), environmental risk, seismic risk, reliability-based design and code calibration, geostatistics, decision analyses, structural reliability, maintenance and life cycle performance, risk and vulnerability, hazard mapping, loss assessment (economic, social, environmental, etc.), GIS databases, remote sensing, and many other related disciplines.The underlying theme is that uncertainties associated with geomaterials (soils, rocks), geologic processes, and possible subsequent treatments, are usually large and complex and these uncertainties play an indispensable role in the risk assessment and management of engineered and natural systems. Significant theoretical and practical challenges remain on quantifying these uncertainties and developing defensible risk management methodologies that are acceptable to decision makers and stakeholders. Many opportunities to leverage on the rapid advancement in Bayesian analysis, machine learning, artificial intelligence, and other data-driven methods also exist, which can greatly enhance our decision-making abilities.The basic goal of this international peer-reviewed journal is to provide a multi-disciplinary scientific forum for cross fertilization of ideas between interested parties working on various aspects of georisk to advance the state-of-the-art and the state-of-the-practice.        "
